SRR598589 GTEX-PLZ5
SRR601868 GTEX-O5YW
SRR607313 GTEX-OXRK
SRR599086 GTEX-PSDG
SRR1477033 GTEX-P4PP
SRR601986 GTEX-OIZG
SRR600474 GTEX-PX3G
SRR1478149 GTEX-11ONC
SRR607252 GTEX-PWCY
SRR602106 GTEX-NFK9
SRR598148 GTEX-NPJ8
SRR603918 GTEX-P4QS
SRR599249 GTEX-QESD
SRR612875 GTEX-RU72
SRR606939 GTEX-POMQ
SRR604230 GTEX-QDVJ
SRR608096 GTEX-N7MS
SRR613186 GTEX-OXRO
SRR1481012 GTEX-YEC4
SRR603449 GTEX-OHPK
SRR1477569 GTEX-11DXZ
SRR600852 GTEX-OXRL
SRR601645 GTEX-P4PQ
SRR1478900 GTEX-13RTJ
SRR612335 GTEX-R55G
SRR614996 GTEX-RNOR
SRR1507229 GTEX-13NYB
SRR1477015 GTEX-13O3O
SRR604174 GTEX-O5YV
SRR1474730 GTEX-S33H
SRR614683 GTEX-QV44
SRR601613 GTEX-P78B
SRR604122 GTEX-QDVN
SRR598509 GTEX-N7MT
SRR599380 GTEX-QLQ7
SRR1489693 GTEX-ZYW4
SRR601239 GTEX-Q2AH
SRR1478189 GTEX-13O21
